match,seed,winner,t,v2_production,v1_production,production_diff,v2_ship_count,v1_ship_count,ship_count_diff,v2_planets,v1_planets
1,0,v2,87,12,12,0,346,297,49,5,10
1,0,v2,88,12,12,0,358,309,49,5,10
1,0,v2,89,12,12,0,370,321,49,5,10
1,0,v2,90,12,12,0,382,333,49,5,10
1,0,v2,91,12,13,-1,394,331,63,5,11
1,0,v2,92,12,13,-1,406,344,62,5,11
1,0,v2,93,12,13,-1,418,357,61,5,11
1,0,v2,94,12,14,-2,430,342,88,5,12
1,0,v2,95,12,18,-6,442,332,110,5,13
1,0,v2,96,12,18,-6,454,350,104,5,13
1,0,v2,97,12,18,-6,466,368,98,5,13
1,0,v2,98,12,19,-7,478,366,112,5,14
1,0,v2,99,12,19,-7,490,385,105,5,14
1,0,v2,100,12,19,-7,502,404,98,5,14
1,0,v2,101,12,19,-7,514,423,91,5,14
1,0,v2,102,12,22,-10,526,422,104,5,15
1,0,v2,103,12,22,-10,538,444,94,5,15
1,0,v2,104,12,22,-10,550,466,84,5,15
1,0,v2,105,12,22,-10,562,488,74,5,15
1,0,v2,106,14,20,-6,541,477,64,7,13
1,0,v2,107,14,20,-6,555,497,58,7,13
1,0,v2,108,14,20,-6,569,517,52,7,13
1,0,v2,109,14,20,-6,583,537,46,7,13
1,0,v2,110,18,20,-2,552,557,-5,8,13
1,0,v2,111,18,20,-2,570,577,-7,8,13
1,0,v2,112,18,20,-2,588,597,-9,8,13
1,0,v2,113,18,20,-2,606,617,-11,8,13
1,0,v2,114,17,21,-4,615,628,-13,7,14
1,0,v2,115,17,21,-4,632,649,-17,7,14
1,0,v2,116,17,21,-4,649,670,-21,7,14
1,0,v2,117,17,21,-4,666,691,-25,7,14
1,0,v2,118,17,21,-4,683,712,-29,7,14
1,0,v2,119,17,22,-5,700,705,-5,7,15
1,0,v2,120,17,22,-5,717,727,-10,7,15
1,0,v2,121,17,22,-5,734,749,-15,7,15
1,0,v2,122,17,22,-5,751,771,-20,7,15
1,0,v2,123,17,22,-5,768,793,-25,7,15
1,0,v2,124,17,23,-6,785,801,-16,7,16
1,0,v2,125,17,23,-6,802,824,-22,7,16
1,0,v2,126,17,23,-6,819,847,-28,7,16
1,0,v2,127,17,23,-6,836,870,-34,7,16
1,0,v2,128,17,23,-6,853,893,-40,7,16
1,0,v2,129,17,23,-6,870,916,-46,7,16
1,0,v2,130,17,23,-6,887,939,-52,7,16
1,0,v2,131,17,23,-6,904,962,-58,7,16
1,0,v2,132,17,23,-6,921,985,-64,7,16
1,0,v2,133,18,22,-4,918,988,-70,8,15
1,0,v2,134,17,23,-6,907,981,-74,7,16
1,0,v2,135,17,23,-6,924,1004,-80,7,16
1,0,v2,136,17,24,-7,941,984,-43,7,17
1,0,v2,137,17,25,-8,958,965,-7,7,18
1,0,v2,138,17,25,-8,975,990,-15,7,18
1,0,v2,139,17,25,-8,992,1015,-23,7,18
1,0,v2,140,17,25,-8,1009,1040,-31,7,18
1,0,v2,141,17,26,-9,1026,1022,4,7,19
1,0,v2,142,16,27,-11,1033,1038,-5,6,20
1,0,v2,143,16,27,-11,1049,1065,-16,6,20
1,0,v2,144,16,27,-11,1065,1092,-27,6,20
1,0,v2,145,16,27,-11,1081,1119,-38,6,20
1,0,v2,146,16,27,-11,1097,1146,-49,6,20
1,0,v2,147,21,22,-1,1039,1099,-60,8,18
1,0,v2,148,23,20,3,1025,1086,-61,10,16
1,0,v2,149,27,20,7,1003,1106,-103,11,16
1,0,v2,150,27,20,7,1030,1126,-96,11,16
1,0,v2,151,27,20,7,1057,1146,-89,11,16
1,0,v2,152,27,20,7,1084,1166,-82,11,16
1,0,v2,153,26,21,5,1105,1180,-75,10,17
1,0,v2,154,26,21,5,1131,1201,-70,10,17
1,0,v2,155,26,21,5,1157,1222,-65,10,17
1,0,v2,156,26,21,5,1183,1243,-60,10,17
1,0,v2,157,26,21,5,1209,1264,-55,10,17
1,0,v2,158,26,21,5,1235,1285,-50,10,17
1,0,v2,159,22,25,-3,1220,1265,-45,9,18
1,0,v2,160,22,25,-3,1242,1290,-48,9,18
1,0,v2,161,22,25,-3,1264,1315,-51,9,18
1,0,v2,162,22,25,-3,1286,1340,-54,9,18
1,0,v2,163,22,25,-3,1308,1365,-57,9,18
1,0,v2,164,22,25,-3,1330,1390,-60,9,18
1,0,v2,165,22,25,-3,1352,1415,-63,9,18
1,0,v2,166,22,25,-3,1374,1440,-66,9,18
1,0,v2,167,22,25,-3,1396,1465,-69,9,18
1,0,v2,168,22,25,-3,1418,1490,-72,9,18
1,0,v2,169,22,25,-3,1440,1515,-75,9,18
1,0,v2,170,21,26,-5,1439,1517,-78,8,19
1,0,v2,171,21,26,-5,1460,1543,-83,8,19
1,0,v2,172,21,26,-5,1481,1569,-88,8,19
1,0,v2,173,21,26,-5,1502,1595,-93,8,19
1,0,v2,174,21,26,-5,1523,1621,-98,8,19
1,0,v2,175,21,26,-5,1544,1603,-59,8,19
1,0,v2,176,21,26,-5,1565,1629,-64,8,19
1,0,v2,177,21,26,-5,1586,1655,-69,8,19
1,0,v2,178,21,26,-5,1607,1681,-74,8,19
1,0,v2,179,21,26,-5,1628,1707,-79,8,19
1,0,v2,180,21,26,-5,1649,1733,-84,8,19
1,0,v2,181,21,26,-5,1670,1759,-89,8,19
1,0,v2,182,21,26,-5,1691,1785,-94,8,19
1,0,v2,183,21,26,-5,1712,1811,-99,8,19
1,0,v2,184,21,26,-5,1733,1837,-104,8,19
1,0,v2,185,21,26,-5,1754,1863,-109,8,19
1,0,v2,186,21,26,-5,1775,1889,-114,8,19
1,0,v2,187,21,26,-5,1796,1915,-119,8,19
1,0,v2,188,21,26,-5,1817,1941,-124,8,19
1,0,v2,189,21,26,-5,1838,1967,-129,8,19
1,0,v2,190,21,26,-5,1859,1993,-134,8,19
1,0,v2,191,21,26,-5,1880,2019,-139,8,19
1,0,v2,192,21,26,-5,1901,2045,-144,8,19
1,0,v2,193,21,26,-5,1922,2071,-149,8,19
1,0,v2,194,21,26,-5,1943,2097,-154,8,19
1,0,v2,195,21,26,-5,1964,2123,-159,8,19
1,0,v2,196,21,26,-5,1985,2149,-164,8,19
1,0,v2,197,21,26,-5,2006,2175,-169,8,19
1,0,v2,198,21,26,-5,2027,2201,-174,8,19
1,0,v2,199,21,26,-5,2048,2227,-179,8,19
1,0,v2,200,21,27,-6,2069,2168,-99,8,20
1,0,v2,201,21,27,-6,2090,2195,-105,8,20
1,0,v2,202,21,28,-7,2111,2179,-68,8,21
1,0,v2,203,21,28,-7,2132,2207,-75,8,21
1,0,v2,204,22,27,-5,2099,2181,-82,9,20
1,0,v2,205,22,27,-5,2121,2208,-87,9,20
1,0,v2,206,23,26,-3,2118,2210,-92,10,19
1,0,v2,207,24,25,-1,2130,2225,-95,11,18
1,0,v2,208,24,25,-1,2154,2250,-96,11,18
1,0,v2,209,23,26,-3,2156,2253,-97,10,19
1,0,v2,210,24,25,-1,2168,2268,-100,11,18
1,0,v2,211,23,26,-3,2135,2236,-101,10,19
1,0,v2,212,23,26,-3,2156,2260,-104,10,19
1,0,v2,213,23,26,-3,2179,2286,-107,10,19
1,0,v2,214,24,25,-1,2191,2301,-110,11,18
1,0,v2,215,23,26,-3,2199,2310,-111,10,19
1,0,v2,216,23,26,-3,2214,2328,-114,10,19
1,0,v2,217,23,26,-3,2189,2306,-117,10,19
1,0,v2,218,23,26,-3,2211,2331,-120,10,19
1,0,v2,219,27,22,5,2195,2318,-123,11,18
1,0,v2,220,27,23,4,2222,2255,-33,11,19
1,0,v2,221,27,23,4,2244,2273,-29,11,19
1,0,v2,222,27,23,4,2271,2296,-25,11,19
1,0,v2,223,27,23,4,2298,2319,-21,11,19
1,0,v2,224,27,23,4,2325,2342,-17,11,19
1,0,v2,225,27,23,4,2348,2361,-13,11,19
1,0,v2,226,27,23,4,2375,2384,-9,11,19
1,0,v2,227,27,23,4,2402,2407,-5,11,19
1,0,v2,228,27,23,4,2429,2430,-1,11,19
1,0,v2,229,26,24,2,2411,2408,3,10,20
1,0,v2,230,26,24,2,2437,2432,5,10,20
1,0,v2,231,26,25,1,2463,2374,89,10,21
1,0,v2,232,26,25,1,2489,2399,90,10,21
1,0,v2,233,26,25,1,2515,2424,91,10,21
1,0,v2,234,26,25,1,2541,2449,92,10,21
1,0,v2,235,26,25,1,2567,2474,93,10,21
1,0,v2,236,25,26,-1,2573,2479,94,9,22
1,0,v2,237,25,26,-1,2598,2505,93,9,22
1,0,v2,238,25,26,-1,2623,2531,92,9,22
1,0,v2,239,25,26,-1,2648,2557,91,9,22
1,0,v2,240,25,26,-1,2673,2583,90,9,22
1,0,v2,241,26,25,1,2660,2571,89,10,21
1,0,v2,242,26,25,1,2686,2596,90,10,21
1,0,v2,243,25,26,-1,2709,2618,91,9,22
1,0,v2,244,26,25,1,2665,2575,90,10,21
1,0,v2,245,27,24,3,2654,2563,91,11,20
1,0,v2,246,27,24,3,2681,2587,94,11,20
1,0,v2,247,27,24,3,2706,2609,97,11,20
1,0,v2,248,27,24,3,2733,2633,100,11,20
1,0,v2,249,27,24,3,2760,2657,103,11,20
1,0,v2,250,27,24,3,2786,2680,106,11,20
1,0,v2,251,27,24,3,2813,2704,109,11,20
1,0,v2,252,27,24,3,2840,2728,112,11,20
1,0,v2,253,27,24,3,2867,2752,115,11,20
1,0,v2,254,25,27,-2,2870,2667,203,9,23
1,0,v2,255,25,27,-2,2895,2694,201,9,23
1,0,v2,256,25,27,-2,2920,2721,199,9,23
1,0,v2,257,25,27,-2,2945,2748,197,9,23
1,0,v2,258,24,28,-4,2955,2760,195,8,24
1,0,v2,259,24,28,-4,2979,2788,191,8,24
1,0,v2,260,24,28,-4,3003,2816,187,8,24
1,0,v2,261,24,28,-4,3027,2844,183,8,24
1,0,v2,262,24,28,-4,3051,2872,179,8,24
1,0,v2,263,24,28,-4,3075,2900,175,8,24
1,0,v2,264,24,28,-4,3099,2928,171,8,24
1,0,v2,265,25,27,-2,3111,2944,167,9,23
1,0,v2,266,25,27,-2,3136,2971,165,9,23
1,0,v2,267,27,25,2,3118,2955,163,11,21
1,0,v2,268,27,25,2,3145,2980,165,11,21
1,0,v2,269,28,24,4,3131,2964,167,12,20
1,0,v2,270,29,23,6,3137,2966,171,13,19
1,0,v2,271,30,22,8,3144,2967,177,14,18
1,0,v2,272,31,21,10,3139,2954,185,15,17
1,0,v2,273,30,22,8,3161,2966,195,14,18
1,0,v2,274,30,22,8,3191,2988,203,14,18
1,0,v2,275,29,23,6,3214,3003,211,13,19
1,0,v2,276,29,23,6,3243,3026,217,13,19
1,0,v2,277,29,23,6,3272,3049,223,13,19
1,0,v2,278,29,23,6,3301,3072,229,13,19
1,0,v2,279,29,23,6,3330,3095,235,13,19
1,0,v2,280,27,25,2,3331,3090,241,11,21
1,0,v2,281,27,25,2,3358,3115,243,11,21
1,0,v2,282,27,25,2,3364,3119,245,11,21
1,0,v2,283,27,25,2,3391,3144,247,11,21
1,0,v2,284,26,26,0,3417,3168,249,10,22
1,0,v2,285,27,25,2,3421,3172,249,11,21
1,0,v2,286,26,26,0,3442,3191,251,10,22
1,0,v2,287,27,25,2,3427,3176,251,11,21
1,0,v2,288,27,25,2,3454,3201,253,11,21
1,0,v2,289,27,25,2,3481,3226,255,11,21
1,0,v2,290,27,25,2,3505,3248,257,11,21
1,0,v2,291,27,25,2,3532,3273,259,11,21
1,0,v2,292,27,25,2,3559,3298,261,11,21
1,0,v2,293,26,26,0,3576,3313,263,10,22
1,0,v2,294,26,26,0,3602,3339,263,10,22
1,0,v2,295,25,27,-2,3617,3354,263,9,23
1,0,v2,296,24,28,-4,3641,3380,261,8,24
1,0,v2,297,24,28,-4,3665,3408,257,8,24
1,0,v2,298,20,32,-12,3455,3202,253,7,25
1,0,v2,299,20,32,-12,3475,3234,241,7,25
1,0,v2,300,23,29,-6,3379,3150,229,10,22
1,0,v2,301,26,26,0,3219,2996,223,13,19
1,0,v2,302,26,26,0,3245,3022,223,13,19
1,0,v2,303,28,24,4,3188,2965,223,15,17
1,0,v2,304,30,22,8,3165,2938,227,17,15
1,0,v2,305,29,23,6,3193,2958,235,16,16
1,0,v2,306,28,24,4,3219,2978,241,15,17
1,0,v2,307,28,24,4,3246,3001,245,15,17
1,0,v2,308,31,21,10,3212,2963,249,15,17
1,0,v2,309,31,21,10,3243,2984,259,15,17
1,0,v2,310,31,21,10,3270,3001,269,15,17
1,0,v2,311,30,22,8,3285,3006,279,14,18
1,0,v2,312,31,21,10,3307,3020,287,15,17
1,0,v2,313,31,21,10,3317,3020,297,15,17
1,0,v2,314,31,21,10,3319,3012,307,15,17
1,0,v2,315,29,23,6,3326,3009,317,13,19
1,0,v2,316,24,28,-4,3215,2892,323,11,21
1,0,v2,317,23,29,-6,3176,2857,319,10,22
1,0,v2,318,23,29,-6,3199,2886,313,10,22
1,0,v2,319,19,33,-14,2763,2456,307,9,23
1,0,v2,320,18,34,-16,2759,2466,293,8,24
1,0,v2,321,18,34,-16,2774,2497,277,8,24
1,0,v2,322,17,35,-18,2791,2530,261,7,25
1,0,v2,323,17,35,-18,2807,2564,243,7,25
1,0,v2,324,17,35,-18,2824,2599,225,7,25
1,0,v2,325,18,34,-16,2774,2567,207,8,24
1,0,v2,326,18,34,-16,2709,2518,191,8,24
1,0,v2,327,19,33,-14,2707,2532,175,9,23
1,0,v2,328,20,32,-12,2695,2534,161,10,22
1,0,v2,329,20,32,-12,2715,2566,149,10,22
1,0,v2,330,22,30,-8,2690,2553,137,12,20
1,0,v2,331,27,25,2,2585,2456,129,15,17
1,0,v2,332,27,25,2,2612,2481,131,15,17
1,0,v2,333,27,25,2,2638,2505,133,15,17
1,0,v2,334,27,25,2,2665,2530,135,15,17
1,0,v2,335,31,21,10,2660,2523,137,16,16
1,0,v2,336,32,20,12,2665,2518,147,17,15
1,0,v2,337,30,22,8,2676,2517,159,15,17
1,0,v2,338,30,22,8,2706,2539,167,15,17
1,0,v2,339,30,22,8,2736,2561,175,15,17
1,0,v2,340,29,23,6,2756,2573,183,14,18
1,0,v2,341,25,27,-2,2723,2534,189,13,19
1,0,v2,342,26,26,0,2739,2552,187,14,18
1,0,v2,343,29,23,6,2634,2447,187,14,18
1,0,v2,344,28,24,4,2632,2439,193,13,19
1,0,v2,345,28,24,4,2637,2440,197,13,19
1,0,v2,346,28,24,4,2650,2449,201,13,19
1,0,v2,347,28,24,4,2646,2441,205,13,19
1,0,v2,348,32,20,12,2651,2442,209,14,18
1,0,v2,349,32,20,12,2683,2462,221,14,18
1,0,v2,350,35,17,18,2674,2441,233,17,15
1,0,v2,351,35,18,17,2697,2456,241,17,16
1,0,v2,352,34,19,15,2727,2469,258,16,17
1,0,v2,353,36,18,18,2737,2455,282,18,16
1,0,v2,354,36,18,18,2772,2472,300,18,16
1,0,v2,355,38,16,22,2777,2459,318,20,14
1,0,v2,356,37,17,20,2800,2460,340,19,15
1,0,v2,357,37,17,20,2835,2475,360,19,15
1,0,v2,358,37,17,20,2871,2491,380,19,15
1,0,v2,359,35,19,16,2889,2489,400,17,17
1,0,v2,360,26,28,-2,2762,2346,416,14,20
1,0,v2,361,26,28,-2,2787,2373,414,14,20
1,0,v2,362,24,30,-6,2790,2378,412,12,22
1,0,v2,363,23,31,-8,2800,2394,406,11,23
1,0,v2,364,23,31,-8,2822,2424,398,11,23
1,0,v2,365,22,32,-10,2828,2438,390,10,24
1,0,v2,366,21,33,-12,2849,2469,380,9,25
1,0,v2,367,21,33,-12,2869,2501,368,9,25
1,0,v2,368,25,29,-4,2874,2518,356,10,24
1,0,v2,369,27,27,0,2814,2462,352,12,22
1,0,v2,370,27,27,0,2816,2464,352,12,22
1,0,v2,371,29,25,4,2811,2459,352,14,20
1,0,v2,372,36,18,18,2744,2388,356,19,15
1,0,v2,373,41,13,28,2685,2311,374,21,13
1,0,v2,374,40,14,26,2582,2180,402,22,12
1,0,v2,375,38,16,22,2611,2183,428,20,14
1,0,v2,376,40,14,26,2623,2173,450,20,14
1,0,v2,377,33,21,12,2480,2004,476,16,18
1,0,v2,378,32,22,10,2475,1987,488,15,19
1,0,v2,379,32,22,10,2496,1998,498,15,19
1,0,v2,380,31,23,8,2508,2000,508,14,20
1,0,v2,381,32,22,10,2520,2004,516,15,19
1,0,v2,382,32,20,12,2540,1852,688,15,17
1,0,v2,383,35,17,18,2518,1818,700,15,17
1,0,v2,384,32,20,12,2522,1804,718,14,18
1,0,v2,385,32,20,12,2554,1824,730,14,18
1,0,v2,386,34,18,16,2567,1825,742,14,18
1,0,v2,387,32,20,12,2450,1692,758,14,18
1,0,v2,388,28,24,4,2465,1695,770,13,19
1,0,v2,389,22,30,-8,2281,1507,774,11,21
1,0,v2,390,22,30,-8,2293,1527,766,11,21
1,0,v2,391,22,30,-8,2305,1547,758,11,21
1,0,v2,392,21,31,-10,2281,1531,750,10,22
1,0,v2,393,20,32,-12,2300,1560,740,9,23
1,0,v2,394,17,35,-18,2090,1362,728,9,23
1,0,v2,395,15,37,-22,2105,1395,710,7,25
1,0,v2,396,14,38,-24,2099,1411,688,6,26
1,0,v2,397,14,38,-24,2056,1392,664,6,26
1,0,v2,398,20,32,-12,1996,1356,640,10,22
1,0,v2,399,21,31,-10,1982,1354,628,11,21
1,0,v2,400,22,30,-8,1985,1367,618,12,20
1,0,v2,401,18,34,-16,1991,1381,610,10,22
1,0,v2,402,22,30,-8,1894,1300,594,12,20
1,0,v2,403,25,27,-2,1822,1236,586,13,19
1,0,v2,404,33,19,14,1731,1147,584,15,17
1,0,v2,405,34,18,16,1744,1146,598,16,16
1,0,v2,406,36,16,20,1761,1147,614,16,16
1,0,v2,407,36,16,20,1775,1141,634,16,16
1,0,v2,408,34,18,16,1789,1135,654,16,16
1,0,v2,409,35,17,18,1797,1127,670,17,15
1,0,v2,410,35,17,18,1801,1113,688,17,15
1,0,v2,411,36,16,20,1803,1097,706,18,14
1,0,v2,412,29,23,6,1804,1078,726,16,16
1,0,v2,413,35,17,18,1800,1068,732,18,14
1,0,v2,414,35,17,18,1820,1070,750,18,14
1,0,v2,415,32,20,12,1821,1053,768,17,15
1,0,v2,416,32,20,12,1833,1053,780,17,15
1,0,v2,417,31,21,10,1834,1042,792,16,16
1,0,v2,418,36,16,20,1818,1016,802,18,14
1,0,v2,419,31,21,10,1766,944,822,15,17
1,0,v2,420,34,18,16,1769,937,832,16,16
1,0,v2,421,34,18,16,1774,926,848,16,16
1,0,v2,422,31,21,10,1774,910,864,15,17
1,0,v2,423,29,23,6,1755,881,874,13,19
1,0,v2,424,30,22,8,1754,874,880,14,18
1,0,v2,425,21,31,-10,1636,748,888,11,21
1,0,v2,426,20,32,-12,1650,772,878,10,22
1,0,v2,427,21,31,-10,1645,779,866,11,21
1,0,v2,428,22,30,-8,1658,802,856,12,20
1,0,v2,429,24,28,-4,1629,781,848,14,18
1,0,v2,430,25,27,-2,1625,781,844,15,17
1,0,v2,431,23,29,-6,1645,803,842,13,19
1,0,v2,432,22,30,-8,1654,818,836,12,20
1,0,v2,433,22,30,-8,1664,836,828,12,20
1,0,v2,434,20,32,-12,1621,801,820,12,20
1,0,v2,435,24,28,-4,1593,785,808,14,18
1,0,v2,436,24,28,-4,1610,806,804,14,18
1,0,v2,437,25,27,-2,1626,826,800,15,17
1,0,v2,438,24,28,-4,1604,806,798,14,18
1,0,v2,439,23,29,-6,1596,802,794,13,19
1,0,v2,440,26,26,0,1588,800,788,14,18
1,0,v2,441,27,25,2,1583,795,788,15,17
1,0,v2,442,24,28,-4,1593,803,790,12,20
1,0,v2,443,22,30,-8,1612,826,786,10,22
1,0,v2,444,20,32,-12,1624,846,778,10,22
1,0,v2,445,22,30,-8,1621,855,766,12,20
1,0,v2,446,23,29,-6,1620,862,758,13,19
1,0,v2,447,23,29,-6,1581,829,752,13,19
1,0,v2,448,24,28,-4,1588,842,746,14,18
1,0,v2,449,26,26,0,1533,791,742,16,16
1,0,v2,450,27,25,2,1551,809,742,17,15
1,0,v2,451,27,25,2,1492,748,744,14,18
1,0,v2,452,26,26,0,1466,720,746,13,19
1,0,v2,453,26,26,0,1491,745,746,13,19
1,0,v2,454,27,25,2,1430,684,746,14,18
1,0,v2,455,26,26,0,1455,707,748,13,19
1,0,v2,456,28,24,4,1441,693,748,15,17
1,0,v2,457,27,25,2,1465,713,752,14,18
1,0,v2,458,26,26,0,1479,725,754,13,19
1,0,v2,459,24,28,-4,1475,721,754,13,19
1,0,v2,460,24,28,-4,1447,697,750,13,19
1,0,v2,461,24,28,-4,1455,709,746,13,19
1,0,v2,462,27,25,2,1388,646,742,13,19
1,0,v2,463,28,24,4,1390,646,744,14,18
1,0,v2,464,27,25,2,1415,667,748,13,19
1,0,v2,465,29,23,6,1406,656,750,15,17
1,0,v2,466,27,25,2,1359,603,756,14,18
1,0,v2,467,30,22,8,1296,538,758,15,17
1,0,v2,468,29,23,6,1282,516,766,16,16
1,0,v2,469,28,24,4,1272,500,772,15,17
1,0,v2,470,29,23,6,1288,512,776,16,16
1,0,v2,471,27,25,2,1313,531,782,14,18
1,0,v2,472,28,24,4,1300,516,784,13,19
1,0,v2,473,21,31,-10,1260,472,788,10,22
1,0,v2,474,21,31,-10,1254,476,778,10,22
1,0,v2,475,17,35,-18,1251,483,768,9,23
1,0,v2,476,18,34,-16,1252,502,750,10,22
1,0,v2,477,25,27,-2,1149,415,734,15,17
1,0,v2,478,27,25,2,1133,401,732,17,15
1,0,v2,479,31,21,10,1134,400,734,19,13
1,0,v2,480,34,18,16,1148,405,743,20,12
1,0,v2,481,31,21,10,1146,387,759,19,13
1,0,v2,482,31,21,10,1143,374,769,19,13
1,0,v2,483,30,22,8,1125,346,779,18,14
1,0,v2,484,32,20,12,1106,319,787,19,13
1,0,v2,485,32,20,12,1088,289,799,19,13
1,0,v2,486,37,15,22,1058,247,811,22,10
1,0,v2,487,42,10,32,1071,238,833,24,8
1,0,v2,488,37,15,22,1069,204,865,21,11
1,0,v2,489,38,14,24,1085,198,887,22,10
1,0,v2,490,39,13,26,1101,190,911,23,9
1,0,v2,491,39,13,26,1131,194,937,23,9
1,0,v2,492,39,13,26,1154,191,963,23,9
1,0,v2,493,38,14,24,1132,143,989,22,10
1,0,v2,494,39,13,26,1109,96,1013,23,9
1,0,v2,495,39,13,26,1145,106,1039,23,9
1,0,v2,496,41,11,30,1164,99,1065,25,7
1,0,v2,497,41,11,30,1197,102,1095,25,7
1,0,v2,498,43,9,34,1212,87,1125,27,5
1,0,v2,499,47,5,42,1200,41,1159,29,3
2,1,v2,0,3,3,0,10,10,0,1,1
2,1,v2,1,3,3,0,13,13,0,1,1
2,1,v2,2,3,3,0,16,16,0,1,1
2,1,v2,3,3,3,0,19,19,0,1,1
2,1,v2,4,3,3,0,22,22,0,1,1
2,1,v2,5,3,3,0,25,25,0,1,1
2,1,v2,6,3,3,0,28,28,0,1,1
2,1,v2,7,3,3,0,31,31,0,1,1
2,1,v2,8,3,3,0,34,34,0,1,1
2,1,v2,9,3,3,0,37,37,0,1,1
2,1,v2,10,3,3,0,40,40,0,1,1
2,1,v2,11,3,3,0,43,43,0,1,1
2,1,v2,12,3,3,0,36,46,-10,1,1
